forecast_date,target,target_end_date,location,type,quantile,value
2020-05-31,1 day ahead inc death,2020-06-01,13,quantile,0.01,3.337
2020-05-31,1 day ahead inc death,2020-06-01,13,quantile,0.025,5
2020-05-31,1 day ahead inc death,2020-06-01,13,quantile,0.05,8
2020-05-31,1 day ahead inc death,2020-06-01,13,quantile,0.1,11
2020-05-31,1 day ahead inc death,2020-06-01,13,quantile,0.15,13
2020-05-31,1 day ahead inc death,2020-06-01,13,quantile,0.2,16
2020-05-31,1 day ahead inc death,2020-06-01,13,quantile,0.25,18
2020-05-31,1 day ahead inc death,2020-06-01,13,quantile,0.3,20
2020-05-31,1 day ahead inc death,2020-06-01,13,quantile,0.35,23
2020-05-31,1 day ahead inc death,2020-06-01,13,quantile,0.4,25
2020-05-31,1 day ahead inc death,2020-06-01,13,quantile,0.45,27
2020-05-31,1 day ahead inc death,2020-06-01,13,quantile,0.5,30
2020-05-31,1 day ahead inc death,2020-06-01,13,quantile,0.55,33
2020-05-31,1 day ahead inc death,2020-06-01,13,quantile,0.6,36
2020-05-31,1 day ahead inc death,2020-06-01,13,quantile,0.65,39
2020-05-31,1 day ahead inc death,2020-06-01,13,quantile,0.7,43
2020-05-31,1 day ahead inc death,2020-06-01,13,quantile,0.75,48
2020-05-31,1 day ahead inc death,2020-06-01,13,quantile,0.8,53
2020-05-31,1 day ahead inc death,2020-06-01,13,quantile,0.85,59
2020-05-31,1 day ahead inc death,2020-06-01,13,quantile,0.9,68
2020-05-31,1 day ahead inc death,2020-06-01,13,quantile,0.95,85.65
2020-05-31,1 day ahead inc death,2020-06-01,13,quantile,0.975,96
2020-05-31,1 day ahead inc death,2020-06-01,13,quantile,0.99,126.327
2020-05-31,1 day ahead inc death,2020-06-01,13,point,NA,30
2020-05-31,1 day ahead cum death,2020-06-01,13,quantile,0.01,2056.337
2020-05-31,1 day ahead cum death,2020-06-01,13,quantile,0.025,2058
2020-05-31,1 day ahead cum death,2020-06-01,13,quantile,0.05,2061
2020-05-31,1 day ahead cum death,2020-06-01,13,quantile,0.1,2064
2020-05-31,1 day ahead cum death,2020-06-01,13,quantile,0.15,2066
2020-05-31,1 day ahead cum death,2020-06-01,13,quantile,0.2,2069
2020-05-31,1 day ahead cum death,2020-06-01,13,quantile,0.25,2071
2020-05-31,1 day ahead cum death,2020-06-01,13,quantile,0.3,2073
2020-05-31,1 day ahead cum death,2020-06-01,13,quantile,0.35,2076
2020-05-31,1 day ahead cum death,2020-06-01,13,quantile,0.4,2078
2020-05-31,1 day ahead cum death,2020-06-01,13,quantile,0.45,2080
2020-05-31,1 day ahead cum death,2020-06-01,13,quantile,0.5,2083
2020-05-31,1 day ahead cum death,2020-06-01,13,quantile,0.55,2086
2020-05-31,1 day ahead cum death,2020-06-01,13,quantile,0.6,2089
2020-05-31,1 day ahead cum death,2020-06-01,13,quantile,0.65,2092
2020-05-31,1 day ahead cum death,2020-06-01,13,quantile,0.7,2096
2020-05-31,1 day ahead cum death,2020-06-01,13,quantile,0.75,2101
2020-05-31,1 day ahead cum death,2020-06-01,13,quantile,0.8,2106
2020-05-31,1 day ahead cum death,2020-06-01,13,quantile,0.85,2112
2020-05-31,1 day ahead cum death,2020-06-01,13,quantile,0.9,2121
2020-05-31,1 day ahead cum death,2020-06-01,13,quantile,0.95,2138.65
2020-05-31,1 day ahead cum death,2020-06-01,13,quantile,0.975,2149
2020-05-31,1 day ahead cum death,2020-06-01,13,quantile,0.99,2179.327
2020-05-31,1 day ahead cum death,2020-06-01,13,point,NA,2083
2020-05-31,2 day ahead inc death,2020-06-02,13,quantile,0.01,2
2020-05-31,2 day ahead inc death,2020-06-02,13,quantile,0.025,5
2020-05-31,2 day ahead inc death,2020-06-02,13,quantile,0.05,7
2020-05-31,2 day ahead inc death,2020-06-02,13,quantile,0.1,11
2020-05-31,2 day ahead inc death,2020-06-02,13,quantile,0.15,13
2020-05-31,2 day ahead inc death,2020-06-02,13,quantile,0.2,15.4
2020-05-31,2 day ahead inc death,2020-06-02,13,quantile,0.25,18
2020-05-31,2 day ahead inc death,2020-06-02,13,quantile,0.3,21
2020-05-31,2 day ahead inc death,2020-06-02,13,quantile,0.35,23
2020-05-31,2 day ahead inc death,2020-06-02,13,quantile,0.4,25
2020-05-31,2 day ahead inc death,2020-06-02,13,quantile,0.45,29
2020-05-31,2 day ahead inc death,2020-06-02,13,quantile,0.5,31
2020-05-31,2 day ahead inc death,2020-06-02,13,quantile,0.55,34
2020-05-31,2 day ahead inc death,2020-06-02,13,quantile,0.6,37
2020-05-31,2 day ahead inc death,2020-06-02,13,quantile,0.65,41
2020-05-31,2 day ahead inc death,2020-06-02,13,quantile,0.7,45
2020-05-31,2 day ahead inc death,2020-06-02,13,quantile,0.75,49
2020-05-31,2 day ahead inc death,2020-06-02,13,quantile,0.8,54
2020-05-31,2 day ahead inc death,2020-06-02,13,quantile,0.85,59
2020-05-31,2 day ahead inc death,2020-06-02,13,quantile,0.9,68
2020-05-31,2 day ahead inc death,2020-06-02,13,quantile,0.95,84
2020-05-31,2 day ahead inc death,2020-06-02,13,quantile,0.975,101
2020-05-31,2 day ahead inc death,2020-06-02,13,quantile,0.99,123.643
2020-05-31,2 day ahead inc death,2020-06-02,13,point,NA,31
2020-05-31,2 day ahead cum death,2020-06-02,13,quantile,0.01,2068
2020-05-31,2 day ahead cum death,2020-06-02,13,quantile,0.025,2073
2020-05-31,2 day ahead cum death,2020-06-02,13,quantile,0.05,2078
2020-05-31,2 day ahead cum death,2020-06-02,13,quantile,0.1,2085
2020-05-31,2 day ahead cum death,2020-06-02,13,quantile,0.15,2091
2020-05-31,2 day ahead cum death,2020-06-02,13,quantile,0.2,2094
2020-05-31,2 day ahead cum death,2020-06-02,13,quantile,0.25,2100
2020-05-31,2 day ahead cum death,2020-06-02,13,quantile,0.3,2103
2020-05-31,2 day ahead cum death,2020-06-02,13,quantile,0.35,2108
2020-05-31,2 day ahead cum death,2020-06-02,13,quantile,0.4,2111
2020-05-31,2 day ahead cum death,2020-06-02,13,quantile,0.45,2116
2020-05-31,2 day ahead cum death,2020-06-02,13,quantile,0.5,2119
2020-05-31,2 day ahead cum death,2020-06-02,13,quantile,0.55,2124
2020-05-31,2 day ahead cum death,2020-06-02,13,quantile,0.6,2129
2020-05-31,2 day ahead cum death,2020-06-02,13,quantile,0.65,2134
2020-05-31,2 day ahead cum death,2020-06-02,13,quantile,0.7,2139
2020-05-31,2 day ahead cum death,2020-06-02,13,quantile,0.75,2144.583
2020-05-31,2 day ahead cum death,2020-06-02,13,quantile,0.8,2152
2020-05-31,2 day ahead cum death,2020-06-02,13,quantile,0.85,2160.617
2020-05-31,2 day ahead cum death,2020-06-02,13,quantile,0.9,2173.633
2020-05-31,2 day ahead cum death,2020-06-02,13,quantile,0.95,2193
2020-05-31,2 day ahead cum death,2020-06-02,13,quantile,0.975,2215.317
2020-05-31,2 day ahead cum death,2020-06-02,13,quantile,0.99,2238.99
2020-05-31,2 day ahead cum death,2020-06-02,13,point,NA,2119
2020-05-31,3 day ahead inc death,2020-06-03,13,quantile,0.01,2.337
2020-05-31,3 day ahead inc death,2020-06-03,13,quantile,0.025,4
2020-05-31,3 day ahead inc death,2020-06-03,13,quantile,0.05,6.35
2020-05-31,3 day ahead inc death,2020-06-03,13,quantile,0.1,10
2020-05-31,3 day ahead inc death,2020-06-03,13,quantile,0.15,13
2020-05-31,3 day ahead inc death,2020-06-03,13,quantile,0.2,15
2020-05-31,3 day ahead inc death,2020-06-03,13,quantile,0.25,17
2020-05-31,3 day ahead inc death,2020-06-03,13,quantile,0.3,20
2020-05-31,3 day ahead inc death,2020-06-03,13,quantile,0.35,23
2020-05-31,3 day ahead inc death,2020-06-03,13,quantile,0.4,26
2020-05-31,3 day ahead inc death,2020-06-03,13,quantile,0.45,28
2020-05-31,3 day ahead inc death,2020-06-03,13,quantile,0.5,30
2020-05-31,3 day ahead inc death,2020-06-03,13,quantile,0.55,33
2020-05-31,3 day ahead inc death,2020-06-03,13,quantile,0.6,36
2020-05-31,3 day ahead inc death,2020-06-03,13,quantile,0.65,41
2020-05-31,3 day ahead inc death,2020-06-03,13,quantile,0.7,44.567
2020-05-31,3 day ahead inc death,2020-06-03,13,quantile,0.75,49.583
2020-05-31,3 day ahead inc death,2020-06-03,13,quantile,0.8,55
2020-05-31,3 day ahead inc death,2020-06-03,13,quantile,0.85,62
2020-05-31,3 day ahead inc death,2020-06-03,13,quantile,0.9,73
2020-05-31,3 day ahead inc death,2020-06-03,13,quantile,0.95,89.65
2020-05-31,3 day ahead inc death,2020-06-03,13,quantile,0.975,98.317
2020-05-31,3 day ahead inc death,2020-06-03,13,quantile,0.99,116.663
2020-05-31,3 day ahead inc death,2020-06-03,13,point,NA,30
2020-05-31,3 day ahead cum death,2020-06-03,13,quantile,0.01,2083
2020-05-31,3 day ahead cum death,2020-06-03,13,quantile,0.025,2091.842
2020-05-31,3 day ahead cum death,2020-06-03,13,quantile,0.05,2099
2020-05-31,3 day ahead cum death,2020-06-03,13,quantile,0.1,2108.367
2020-05-31,3 day ahead cum death,2020-06-03,13,quantile,0.15,2117
2020-05-31,3 day ahead cum death,2020-06-03,13,quantile,0.2,2124
2020-05-31,3 day ahead cum death,2020-06-03,13,quantile,0.25,2130.417
2020-05-31,3 day ahead cum death,2020-06-03,13,quantile,0.3,2136
2020-05-31,3 day ahead cum death,2020-06-03,13,quantile,0.35,2140
